184.0,8.0,-8.0,-8.0,-0.0,8.0,16.0,8.0,-8.0,-8.0,-0.0,-0.0,8.0,-0.0,24.0,16.0,-0.0,16.0,-0.0,-8.0,-8.0,16.0,8.0,-8.0,-16.0,-0.0,-8.0,-0.0,16.0,24.0,16.0,-8.0,-16.0,16.0,-8.0,16.0,-0.0,-0.0,8.0,8.0,-0.0,-0.0,16.0,16.0,24.0,16.0,16.0,16.0,8.0
-0.0,56.0,-0.0,-0.0,-0.0,8.0,-0.0,8.0,-8.0,-8.0,-8.0,-8.0,16.0,-0.0,8.0,-0.0,-8.0,-0.0,-0.0,-8.0,-8.0,-0.0,-0.0,-0.0,8.0,-0.0,-0.0,-0.0,8.0,8.0,8.0,-0.0,-8.0,-0.0,-0.0,16.0,-0.0,-0.0,-8.0,8.0,-8.0,-8.0,8.0,16.0,8.0,16.0,8.0,16.0,-0.0
-0.0,-0.0,-32.0,8.0,16.0,8.0,-8.0,-8.0,-0.0,8.0,-0.0,-8.0,-0.0,-8.0,-0.0,-0.0,-0.0,-0.0,8.0,8.0,8.0,-8.0,-8.0,-0.0,-8.0,8.0,8.0,8.0,-8.0,-0.0,-8.0,-8.0,8.0,-8.0,8.0,-8.0,-0.0,-0.0,-8.0,-8.0,8.0,-0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-0.0
-0.0,-0.0,-0.0,-92.0,16.0,8.0,-8.0,-0.0,-0.0,8.0,-0.0,-8.0,-0.0,-8.0,-8.0,-8.0,-0.0,-8.0,8.0,8.0,-0.0,-8.0,-16.0,-0.0,-0.0,-0.0,8.0,-0.0,-0.0,-8.0,-8.0,-0.0,8.0,-16.0,8.0,-0.0,8.0,8.0,-8.0,-0.0,8.0,-0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-0.0,-8.0
-0.0,-0.0,-0.0,-0.0,-160.0,8.0,-8.0,-8.0,-0.0,-0.0,-8.0,-16.0,-8.0,-16.0,-8.0,-0.0,-0.0,-0.0,16.0,8.0,16.0,-8.0,-8.0,-8.0,-8.0,-0.0,8.0,-0.0,-16.0,8.0,-0.0,-8.0,8.0,-8.0,16.0,-0.0,-0.0,-0.0,-8.0,-0.0,24.0,-0.0,-16.0,-8.0,-0.0,-8.0,-16.0,-8.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,44.0,-0.0,-0.0,-8.0,-0.0,-0.0,-8.0,8.0,-8.0,8.0,-0.0,-0.0,-0.0,8.0,-0.0,-8.0,-8.0,-8.0,-0.0,-0.0,-0.0,-0.0,8.0,8.0,-0.0,-0.0,-8.0,-0.0,-0.0,-0.0,8.0,8.0,8.0,-8.0,-0.0,-0.0,-8.0,-0.0,8.0,8.0,8.0,-0.0,8.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,192.0,8.0,-0.0,-8.0,-0.0,-0.0,-0.0,-0.0,16.0,8.0,-8.0,16.0,-8.0,-8.0,-8.0,24.0,16.0,-8.0,-8.0,-0.0,-8.0,-0.0,8.0,16.0,16.0,-8.0,-16.0,16.0,-8.0,8.0,-0.0,-8.0,8.0,-0.0,-8.0,-0.0,16.0,16.0,16.0,16.0,8.0,8.0,8.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,100.0,-0.0,-8.0,-0.0,-0.0,8.0,8.0,-0.0,-0.0,-0.0,-0.0,-8.0,-8.0,-8.0,8.0,8.0,-0.0,-0.0,-8.0,-8.0,-8.0,8.0,8.0,8.0,8.0,-8.0,8.0,-8.0,8.0,-0.0,-8.0,-0.0,8.0,-8.0,-8.0,8.0,16.0,8.0,16.0,8.0,8.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-44.0,8.0,16.0,-0.0,-24.0,-0.0,-8.0,-8.0,-0.0,-0.0,-0.0,-0.0,8.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-8.0,-0.0,-8.0,-8.0,-0.0,8.0,-8.0,8.0,-8.0,-0.0,-8.0,-0.0,-0.0,8.0,8.0,-8.0,-8.0,-0.0,-8.0,-0.0,-16.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-20.0,8.0,-0.0,-8.0,-0.0,-8.0,-8.0,8.0,-8.0,8.0,8.0,8.0,-8.0,-8.0,-0.0,-0.0,-0.0,8.0,-0.0,-8.0,-8.0,-16.0,-0.0,8.0,-8.0,8.0,-8.0,8.0,-0.0,-8.0,-8.0,8.0,-0.0,-8.0,-8.0,-8.0,-8.0,-0.0,-8.0,-8.0
